Nom,100m,long,poid,haut,400m,110mH,disq,perc,jave,1500m,score,compet
Karpov,11.02,7.3,14.77,2.04,48.37,14.09,48.95,4.92,50.31,300.2,8099,Decastar
Bernard,11.02,7.23,14.25,1.92,48.93,14.99,40.87,5.32,62.77,280.1,8067,Decastar
Yurkov,11.34,7.09,15.19,2.1,50.42,15.31,46.26,4.72,63.44,276.4,8036,Decastar
Warners,11.11,7.6,14.31,1.98,48.68,14.23,41.1,4.92,51.77,278.1,8030,Decastar
Zsivoczky,11.13,7.3,13.48,2.01,48.62,14.17,45.67,4.42,55.37,268,8004,Decastar
McMullen,10.83,7.31,13.76,2.13,49.91,14.38,44.41,4.42,56.37,285.1,7995,Decastar
Martineau,11.64,6.81,14.57,1.95,50.14,14.93,47.6,4.92,52.33,262.1,7802,Decastar
Hernu,11.37,7.56,14.41,1.86,51.1,15.06,44.99,4.82,57.19,285.1,7733,Decastar
Barras,11.33,6.97,14.09,1.95,49.48,14.48,42.1,4.72,55.4,282,7708,Decastar
Nool,11.33,7.27,12.68,1.98,49.2,15.29,37.92,4.62,57.44,266.6,7651,Decastar
Bourguignon,11.36,6.8,13.46,1.86,51.16,15.67,40.49,5.02,54.68,291.7,7313,Decastar
Zmelik,10.78,7.87,14.53,2.06,48.65,13.95,45.00,5.10,59.06,267.21,8611,JO_1992
Penalver,11.09,7.54,16.50,2.06,49.66,14.58,49.68,4.90,58.64,278.02,8412,JO_1992
Johnson,11.16,7.33,15.28,2.00,49.76,14.76,49.12,5.10,62.86,276.63,8309,JO_1992
Szabo,11.09,7.42,13.73,1.97,48.24,14.86,39.22,5.30,59.14,259.96,8199,JO_1992
Muzzio,11.36,6.94,16.02,2.00,50,14.75,50.74,4.90,61.64,271.52,8195,JO_1992
Meier,10.75,7.54,15.34,2.15,48.33,15.22,42.14,4.60,55.44,278.21,8192,JO_1992
Motti,11.42,7.13,15.44,2.12,50.44,15.02,50.58,4.70,67.60,288.69,8164,JO_1992
Ganiyev,10.97,7.49,14.35,2.12,49.3,14.78,45.08,4.90,54.70,282.20,8160,JO_1992
Ekberg,11.11,7.02,14.32,2.03,48.91,14.97,45.76,4.90,62.22,269.11,8136,JO_1992
deWit,11.09,7.02,15.48,2.00,49.24,14.89,48.34,4.80,61.36,281.39,8109,JO_1992
Kellermayr,10.49,7.53,14.56,1.91,47.91,14.64,45.06,4.80,53.74,292.56,8076,JO_1992
Radchenko,11.3,7.33,15.21,1.97,50.62,14.78,44.84,4.90,62.56,273.49,8071,JO_1992
Muller,10.95,7.25,13.55,1.97,47.98,14.51,42.56,4.60,61.84,269.19,8066,JO_1992
Nazarov,11.03,7.13,13.11,2.09,49.07,14.6,44.58,4.80,54.56,266.19,8052,JO_1992
Blondel,11.31,7.31,13.56,2.03,49.19,14.5,37.78,5.10,58.00,263.82,8031,JO_1992
Burrell,10.95,7.56,14.41,2.03,48.14,15.18,43.52,4.50,45.66,262.42,7952,JO_1992
Dauth,10.8,7.30,15.29,1.97,48.33,14.76,44.70,4.50,52.94,284.91,7951,JO_1992
Bigham,11.14,7.26,12.56,1.94,47.73,14.94,37.42,4.50,60.52,267.42,7754,JO_1992
Smith,10.97,7.43,13.67,1.91,50.06,15.29,42.54,4.50,60.52,286.83,7703,JO_1992
Munkacsy,11.13,7.28,12.56,1.91,48.69,14.81,41.22,4.40,52.90,258.62,7698,JO_1992
Gahwiler,11.56,7.07,12.92,1.88,50.08,15.17,43.26,4.60,58.82,252.07,7676,JO_1992
Benet,11.41,6.94,12.99,1.91,49.6,14.86,40.10,4.50,59.68,282.58,7484,JO_1992
Kasapoglu,11.4,7.15,13.40,1.91,51.54,15.42,39.80,4.50,47.90,285.77,7205,JO_1992
Miller,11.4,6.50,13.21,1.82,50.76,15.08,39.90,3.80,57.80,288.81,6971,JO_1992
Momberger,11.55,6.33,13.57,1.88,51.78,16.68,39.52,4.20,52.24,286.64,6780,JO_1992
Vi,11.14,6.91,11.97,1.82,51.45,15.7,40.68,4.00,52.32,317.57,6768,JO_1992
Al-Matrooshi,11.63,6.37,8.62,1.91,51.4,15.98,24.58,4.10,46.06,295.76,6124,JO_1992
Maradiaga,11.75,6.18,9.54,1.70,54.81,16.2,30.26,4.00,42.46,304.10,5746,JO_1992
O'Brien,10.50,7.57,15.66,2.07,46.82,13.87,48.78,5.00,66.90,285.89,8824,JO_1996
Busemann,10.60,8.07,13.60,2.04,48.34,13.47,45.04,4.80,66.86,271.41,8706,JO_1996
Dvorak,10.64,7.60,15.82,1.98,48.29,13.79,46.28,4.70,70.16,271.25,8664,JO_1996
Fritz,10.90,7.77,15.31,2.04,50.13,13.97,49.84,5.10,65.70,278.26,8644,JO_1996
Hamalainen,10.85,7.48,16.32,1.98,46.91,13.95,49.62,5.00,57.66,274.68,8613,JO_1996
Nool,10.65,7.88,14.01,2.01,47.26,15.03,42.98,5.40,65.48,283.36,8543,JO_1996
Zmelik,10.83,7.64,13.53,1.95,49.55,14.17,43.44,5.40,67.20,278.45,8422,JO_1996
Ganiyev,10.84,7.61,14.71,2.13,49.14,14.88,44.86,5.20,53.70,282.74,8318,JO_1996
Penalver,10.95,7.27,16.91,2.07,50.41,14.35,48.92,4.70,57.08,277.71,8307,JO_1996
Huffins,10.47,7.49,15.57,2.04,48.83,14.10,48.72,4.70,60.62,314.36,8300,JO_1996
Plaziat,10.85,7.82,14.85,2.04,49.07,14.52,45.34,4.90,52.18,275.00,8282,JO_1996
Magnusson,10.67,7.28,15.52,1.95,47.17,14.22,43.78,4.80,61.10,286.97,8274,JO_1996
Smith,11.08,7.47,16.97,1.95,51.97,14.78,49.54,5.00,64.34,283.81,8271,JO_1996
Muller,10.95,7.25,14.69,1.95,49.05,14.86,45.90,5.10,66.10,277.50,8253,JO_1996
Chmara,11.28,7.75,14.51,2.10,48.75,14.59,42.60,4.90,54.84,266.96,8249,JO_1996
Damasek,10.86,7.22,15.51,2.01,47.35,14.94,42.66,4.90,55.84,266.86,8229,JO_1996
Levicq,11.17,7.16,14.05,1.92,50.55,14.50,45.00,5.40,64.42,269.50,8192,JO_1996
Dost,10.87,7.21,13.91,1.95,48.19,14.52,41.92,5.20,57.76,278.81,8111,JO_1996
Benet,10.95,7.30,13.91,1.98,48.67,14.36,44.30,4.80,59.44,276.04,8107,JO_1996
Pajonk,10.67,7.50,14.46,1.95,48.81,14.79,41.94,4.50,54.16,261.62,8045,JO_1996
Rosendaal,11.24,7.33,13.59,2.07,50.93,14.46,41.24,4.70,63.80,265.98,8035,JO_1996
Kolpakov,11.15,7.53,14.33,2.07,48.12,14.30,45.66,4.80,53.58,305.41,8025,JO_1996
Piziks,11.40,6.86,14.60,2.16,51.48,15.20,45.90,5.00,58.40,270.88,7994,JO_1996
Pirini,10.89,7.33,14.75,1.89,48.56,14.88,45.34,4.60,58.02,279.09,7961,JO_1996
Balanque,10.71,6.36,14.11,1.89,47.46,14.07,41.64,4.70,59.92,278.97,7873,JO_1996
Duany,11.20,7.30,13.78,2.07,50.50,14.84,38.56,4.40,62.86,275.59,7802,JO_1996
Kurtosi,11.09,7.05,14.29,2.01,50.43,14.64,43.22,4.60,54.80,283.21,7755,JO_1996
Huber,11.06,7.15,13.34,1.86,48.72,15.08,43.42,4.60,51.96,258.15,7743,JO_1996
Kasapoglu,11.07,7.22,12.89,1.92,49.61,14.55,40.64,4.80,45.24,278.69,7575,JO_1996
Nool,10.68,7.76,15.11,2.00,46.71,14.48,43.66,5.00,65.82,269.48,8641,JO_2000
Sebrle,10.92,7.62,15.22,2.12,48.20,13.87,44.39,4.80,64.04,268.79,8606,JO_2000
Huffins,10.48,7.71,15.27,2.09,48.31,13.91,49.55,4.70,56.62,278.71,8595,JO_2000
Macey,10.81,7.77,14.62,2.09,46.41,14.53,43.37,4.80,60.38,263.45,8567,JO_2000
Pappas,10.82,7.41,14.87,2.21,48.64,14.15,41.42,4.90,62.26,285.10,8425,JO_2000
Dvorak,10.91,7.50,15.91,1.97,49.11,14.34,47.15,4.40,69.94,272.23,8385,JO_2000
Busemann,10.91,7.64,14.52,2.09,48.97,14.16,33.71,5.00,64.91,265.32,8351,JO_2000
Zsivoczky,11.10,7.00,14.96,2.06,48.61,15.27,47.43,4.80,65.87,263.37,8277,JO_2000
Schmid,10.94,7.17,14.04,2.00,48.61,14.38,40.81,5.00,67.03,276.49,8206,JO_2000
Dagard,10.84,7.08,14.97,1.94,48.75,14.30,42.95,5.10,65.05,289.51,8178,JO_2000
Kurtosi,11.00,7.19,15.13,2.00,48.81,14.15,46.62,4.80,57.16,283.39,8149,JO_2000
Anibal,10.97,6.90,15.39,2.03,48.71,14.71,45.01,4.90,57.51,272.68,8136,JO_2000
Lobodin,10.75,7.18,15.75,1.94,48.87,14.02,44.55,5.00,50.16,300.73,8071,JO_2000
Ryba,11.14,7.10,14.21,2.00,48.97,14.99,42.83,4.90,57.76,258.21,8056,JO_2000
Duany,11.09,7.33,13.34,2.06,49.73,14.44,41.17,4.60,64.31,269.68,8054,JO_2000
Yurkov,10.89,6.68,14.78,1.97,48.66,15.02,48.67,5.00,54.77,279.94,7993,JO_2000
Kaseorg,11.31,7.22,13.26,1.97,50.03,14.57,41.98,4.80,66.54,275.64,7932,JO_2000
Ambrosch,11.01,7.17,15.30,1.91,50.23,14.92,41.22,4.60,67.94,280.94,7917,JO_2000
Hernu,11.19,7.14,13.54,2.06,50.63,14.51,41.78,5.00,56.34,277.82,7909,JO_2000
Boulineau,11.07,7.08,13.38,2.03,49.82,15.02,39.86,4.80,59.69,275.59,7821,JO_2000
Janvrin,11.26,6.63,13.57,1.85,49.12,15.15,42.20,5.00,56.84,257.81,7726,JO_2000
Mykhailenko,11.10,7.04,13.53,2.06,48.80,14.84,40.45,4.60,47.27,276.23,7676,JO_2000
Laukhin,11.21,7.01,13.16,2.03,49.64,15.16,38.33,4.90,55.53,281.48,7652,JO_2000
Hamalainen,11.01,7.19,14.06,1.85,48.14,14.37,35.98,4.80,47.11,278.18,7520,JO_2000
Sebrle,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280.01,8893,JO_2004
Clay,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.9,69.71,282,8820,JO_2004
Karpov,10.5,7.81,15.93,2.09,46.81,13.97,51.65,4.6,55.54,278.11,8725,JO_2004
Macey,10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.4,58.46,265.42,8414,JO_2004
Warners,10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.9,55.39,278.05,8343,JO_2004
Zsivoczky,10.91,7.14,15.31,2.12,49.4,14.95,45.62,4.7,63.45,269.54,8287,JO_2004
Hernu,10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.8,57.76,264.35,8237,JO_2004
Nool,10.8,7.53,14.26,1.88,48.81,14.8,42.05,5.4,61.33,276.33,8235,JO_2004
Bernard,10.69,7.48,14.8,2.12,49.13,14.17,44.75,4.4,55.27,276.31,8225,JO_2004
Schwarzl,10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.1,56.32,273.56,8102,JO_2004
Pogorelov,10.95,7.31,15.1,2.06,50.79,14.21,44.6,5,53.45,287.63,8084,JO_2004
Schoenbeck,10.9,7.3,14.77,1.88,50.3,14.34,44.41,5,60.89,278.82,8077,JO_2004
Barras,11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.6,64.55,267.09,8067,JO_2004
Smith,10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.2,61.52,272.74,8023,JO_2004
Averyanov,10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.8,54.51,271.02,8021,JO_2004
Ojaniemi,10.68,7.5,14.97,1.94,49.12,15.01,40.35,4.6,59.26,275.71,8006,JO_2004
Smirnov,10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.7,60.88,263.31,7993,JO_2004
Qi,11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.5,60.79,272.63,7934,JO_2004
Drews,10.87,7.38,13.07,1.88,48.51,14.01,40.11,5,51.53,274.21,7926,JO_2004
Parkhomenko,11.14,6.61,15.69,2.03,51.04,14.88,41.9,4.8,65.82,277.94,7918,JO_2004
Terek,10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.3,50.62,290.36,7893,JO_2004
Gomez,11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.4,60.71,269.7,7865,JO_2004
Turi,11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.8,59.34,290.01,7708,JO_2004
Lorenzo,11.1,7.03,13.22,1.85,49.34,15.38,40.22,4.5,58.36,263.08,7592,JO_2004
Karlivans,11.33,7.26,13.3,1.97,50.54,14.98,43.34,4.5,52.92,278.67,7583,JO_2004
Korkizoglou,10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.7,53.05,317,7573,JO_2004
Uldal,11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.5,60,281.7,7495,JO_2004
Casarsa,11.36,6.68,14.92,1.94,53.2,15.39,48.66,4.4,58.62,296.12,7404,JO_2004
Clay,10.44,7.78,16.27,1.99,48.92,13.93,53.79,5.00,70.97,306.59,8791,JO_2008
Krauchanka,10.96,7.61,14.39,2.11,47.30,14.21,44.58,5.00,60.23,267.47,8551,JO_2008
Suárez,10.90,7.33,14.49,2.05,47.91,14.15,44.45,4.70,73.98,269.17,8527,JO_2008
Pogorelov,11.07,7.37,16.53,2.08,50.91,14.47,50.04,5.00,64.01,301.56,8328,JO_2008
Barras,11.26,7.08,15.42,1.96,49.51,14.21,45.17,5.00,65.40,269.29,8253,JO_2008
Sebrle,11.21,7.68,14.78,2.11,49.54,14.71,45.50,4.80,63.93,289.63,8241,JO_2008
Kasyanov,10.53,7.56,15.15,1.96,47.70,14.37,48.39,4.30,51.59,268.94,8238,JO_2008
Niklaus,11.12,7.29,13.23,2.05,49.65,14.37,45.39,5.20,60.21,272.90,8220,JO_2008
Smith,10.85,7.04,15.09,1.99,47.96,14.08,50.91,4.60,51.52,271.62,8205,JO_2008
Schrader,10.80,7.70,13.67,1.99,48.47,14.71,40.41,4.80,60.27,266.77,8194,JO_2008
Pahapill,11.15,7.04,14.36,2.11,50.90,14.51,49.35,4.80,67.07,287.03,8178,JO_2008
Drozdov,11.02,7.23,16.26,2.02,51.56,15.51,47.43,5.10,62.57,281.34,8154,JO_2008
Raja,10.89,7.29,14.79,1.96,48.98,14.06,39.83,4.80,67.16,289.60,8118,JO_2008
Martineau,11.19,7.19,13.78,1.99,49.99,14.73,44.09,4.70,71.44,277.96,8055,JO_2008
García,10.64,7.07,15.82,1.96,49.66,13.90,36.73,4.70,65.60,300.49,7992,JO_2008
Shubianok,11.31,6.86,14.88,1.99,50.02,14.52,45.80,4.60,62.10,278.14,7906,JO_2008
Parkhomenka,11.29,6.99,15.49,1.93,50.71,15.06,45.27,4.70,64.60,285.17,7838,JO_2008
QiHaifeng,11.15,7.22,13.40,1.93,49.39,14.60,46.46,4.30,63.09,279.32,7835,JO_2008
Bertocchi,11.00,7.05,14.10,1.90,48.72,14.32,44.91,4.70,45.33,282.26,7714,JO_2008
Addy,10.76,7.38,14.91,1.93,48.51,14.31,42.30,4.20,52.50,312.22,7665,JO_2008
Awde,11.06,7.12,12.03,1.78,47.16,14.69,37.12,4.90,53.18,284.80,7516,JO_2008
Sepehrzad,10.92,6.80,16.02,1.90,50.75,14.64,50.32,4.00,49.56,306.67,7483,JO_2008
Sitar,11.21,7.25,12.41,2.05,50.10,15.03,39.25,4.00,47.235,277.37,7336,JO_2008
Dizdarevic,11.16,7.02,13.97,1.96,52.02,15.61,39.86,4.00,43.58,291.42,7021,JO_2008
Eaton,10.35,8.03,14.66,2.05,46.90,13.56,42.53,5.20,61.96,273.59,8869,JO_2012
Hardee,10.42,7.53,15.28,1.99,48.11,13.54,48.26,4.80,66.65,280.94,8671,JO_2012
Suarez,11.27,7.52,14.50,2.11,49.04,14.45,45.75,4.70,76.94,270.08,8523,JO_2012
VanAlphen,11.05,7.64,15.48,2.05,49.18,14.89,48.28,4.80,61.69,262.50,8447,JO_2012
Warner,10.48,7.54,13.73,2.05,48.20,14.38,45.90,4.70,62.77,269.85,8442,JO_2012
Freimuth,10.65,7.21,14.87,1.90,48.06,13.89,49.11,4.90,57.37,277.62,8320,JO_2012
Kasyanov,10.56,7.55,14.45,1.99,48.44,14.09,46.72,4.60,54.87,273.68,8283,JO_2012
Sviridov,10.78,7.45,14.42,1.99,48.91,15.42,47.43,4.60,68.42,276.63,8219,JO_2012
Coertzen,11.09,7.17,13.79,2.05,48.56,14.15,43.58,4.50,64.79,266.52,8173,JO_2012
Behrenbruch,11.06,7.15,15.67,1.96,50.04,14.33,44.71,4.70,64.80,277.46,8126,JO_2012
Sintnicolaas,10.85,7.37,14.18,1.93,48.85,14.43,32.26,5.30,58.82,271.17,8034,JO_2012
Newdick,11.10,7.36,15.09,1.96,50.22,15.02,46.15,4.70,59.82,278.20,7988,JO_2012
Barroilhet,11.18,6.80,14.49,2.05,51.07,14.12,41.27,5.40,57.25,288.23,7972,JO_2012
Garcia,10.80,6.75,14.48,1.99,48.76,14.24,42.27,4.60,59.85,278.57,7956,JO_2012
Mayer,11.32,7.17,14.05,2.05,48.76,15.59,41.20,4.70,62.41,263.02,7952,JO_2012
Shkurenyov,11.01,7.25,12.89,2.02,49.81,14.39,43.51,5.10,53.81,282.80,7948,JO_2012
Mikhan,10.74,6.94,14.75,1.93,48.42,14.15,44.42,4.40,55.69,278.06,7928,JO_2012
Karpov,10.91,7.21,16.47,1.99,49.83,14.40,44.93,5.10,49.93,316.83,7926,JO_2012
deAraujo,10.70,7.16,13.52,1.93,48.25,14.79,44.76,4.60,51.59,278.04,7849,JO_2012
Ushiro,11.32,6.86,13.59,1.99,50.78,15.47,46.66,4.90,66.38,279.33,7842,JO_2012
Vos,10.98,7.27,13.77,1.96,49.62,14.61,42.26,4.50,61.60,290.01,7805,JO_2012
Erins,10.99,6.98,13.45,1.93,50.62,15.22,45.10,4.50,57.35,275.88,7649,JO_2012
Addy,10.89,6.90,14.97,1.93,48.64,14.23,45.61,4.20,50.36,308.14,7586,JO_2012
Szabo,11.15,6.96,13.93,1.90,50.83,14.92,45.14,4.60,58.84,293.81,7581,JO_2012
Draudvila,10.95,7.12,15.17,1.96,50.13,14.87,46.43,4.20,50.16,303.14,7557,JO_2012
Artikov,11.37,6.41,14.11,1.93,51.91,14.74,43.53,4.40,56.62,309.52,7203,JO_2012
Eaton,10.46,7.94,14.73,2.01,46.07,13.8,45.49,5.2,59.77,263.3,8893,JO_2016
Mayer,10.81,7.6,15.76,2.04,48.28,14.02,46.78,5.4,65.04,265.5,8834,JO_2016
Warner,10.3,7.67,13.66,2.04,47.35,13.58,44.93,4.7,63.19,264.9,8666,JO_2016
Kazmirek,10.78,7.69,14.2,2.1,46.75,14.62,43.25,5,64.6,271.2,8580,JO_2016
Bourrada,10.75,7.52,13.78,2.1,47.98,14.15,42.39,4.6,66.49,254.6,8521,JO_2016
Suarez,11.21,7.14,14.27,2.07,48.15,14.48,47.07,4.9,72.32,268.3,8460,JO_2016
Ziemek,10.71,7.49,13.44,2.1,49.83,14.77,49.42,5.2,60.92,283,8392,JO_2016
VanDerPlaetsen,11.24,7.66,12.84,2.16,49.63,15.01,43.58,5.4,62.09,274.2,8332,JO_2016
Felix,10.93,7.42,14.77,2.07,49.14,14.79,45.1,4.5,69.92,270.5,8323,JO_2016
d_Araújo,10.77,7.48,15.26,1.92,48.14,14.17,45.1,4.9,57.28,271.5,8315,JO_2016
Taiwo,11.01,7.45,14.92,2.19,48.78,14.57,39.91,5,51.29,262,8300,JO_2016
Helcelet,11.06,7.35,15.11,2.04,49.51,14.37,44.13,4.7,68.2,274.4,8291,JO_2016
Auzeil,11.17,7.07,15.41,1.98,49.34,14.82,42.23,5.1,61.91,280.5,8064,JO_2016
Dubler,10.86,7.47,11.49,2.13,48.18,14.3,38.89,4.9,51.82,272.1,8024,JO_2016
Abele,10.87,6.97,15.03,1.98,49.02,14.12,44.66,4.5,64.13,293.1,8013,JO_2016
Victor,10.83,7.11,14.8,1.98,49.8,15.74,53.24,4.4,63.54,284.7,7998,JO_2016
Tonnesen,11.32,7.33,13.69,2.01,50.81,14.99,46.31,5.2,60.15,286.3,7982,JO_2016
Garcia,10.81,6.83,14.58,2.01,48.69,14.25,40.34,4.5,64.7,285,7961,JO_2016
Distelberger,10.84,7.33,13.4,1.89,48.61,14.39,38.09,4.8,61.83,273.5,7954,JO_2016
Ushiro,11.3,6.83,14.14,1.98,50.43,15.09,49.9,4.9,66.63,286.3,7952,JO_2016
Wiesiolek,10.88,6.73,14.17,2.01,50.18,15.09,48.32,4.5,56.68,282.3,7784,JO_2016
Nakamura,11.04,7.13,12,1.92,48.93,14.57,34.91,4.7,51.24,258.4,7612,JO_2016
Saluri,10.82,7.02,13.88,1.77,50.32,16.51,42.96,4.5,46.42,279.4,7223,JO_2016
